Начало сеанса связи
Принят бит 4: 0
Принят бит 5: 0
Принят бит 6: 0
Принят бит 7: 0
Принят бит 8: 0
Принят бит 9: 0
Принят бит 10: 0
Принят бит 11: 0
Принят бит 12: 0
Принят бит 13: 0
Принят бит 14: 0
Принят бит 15: 0
Принят бит 16: 1
Принят бит 17: 0
Принят бит 18: 1
Принят бит 19: 0
Отправлен ответ: 10101010
Принят бит 1: 0
Принят бит 2: 1
Принят бит 3: 1
Принят бит 4: 1
Принят бит 5: 0
Принят бит 6: 0
Принят бит 7: 0
Принят бит 8: 0
Принят бит 9: 0
Принят бит 10: 0
Принят бит 11: 0
Принят бит 12: 0
Принят бит 13: 1
Принят бит 14: 1
Принят бит 15: 0
Принят бит 16: 1
Принят бит 17: 0
Принят бит 18: 1
Принят бит 19: 0
Отправлен ответ: 10101010
Принят бит 1: 1
Принят бит 2: 1
Принят бит 3: 1
Принят бит 4: 1
Принят бит 5: 0
Принят бит 6: 0
Принят бит 7: 0
Принят бит 8: 1
Принят бит 9: 1
Принят бит 10: 0
Принят бит 11: 1
Принят бит 12: 1
Принят бит 13: 1
Принят бит 14: 1
Принят бит 15: 1
Принят бит 16: 1
Принят бит 17: 1
Принят бит 18: 1
Принят бит 19: 1
Отправлен ответ: 10101010
Принят бит 1: 1
Принят бит 2: 1
Принят бит 3: 1
Принят бит 4: 1
Принят бит 5: 1
Принят бит 6: 1
Принят бит 7: 1
Принят бит 8: 1
Принят бит 9: 1
Принят бит 10: 1
Принят бит 11: 1
Принят бит 12: 1
Принят бит 13: 1
Принят бит 14: 1
Принят бит 15: 1
Принят бит 16: 1
Принят бит 17: 1
Принят бит 18: 1
Принят бит 19: 1
Отправлен ответ: 10101010
Принят бит 1: 1
Принят бит 2: 1
Принят бит 3: 1
Принят бит 4: 1
Принят бит 5: 1
Принят бит 6: 1
Принят бит 7: 1
Принят бит 8: 1
Принят бит 9: 1
Принят бит 10: 1
Принят бит 11: 1
Принят бит 12: 1
Принят бит 13: 1
Принят бит 14: 1
Принят бит 15: 1
Принят бит 16: 1
Принят бит 17: 1
Принят бит 18: 1
Принят бит 19: 1
Отправлен ответ: 10101010
Принят бит 1: 1
Принят бит 2: 1
Принят бит 3: 1
Принят бит 4: 1
Принят бит 5: 1
Принят бит 6: 1
Принят бит 7: 1
Принят бит 8: 1
Принят бит 9: 1
Принят бит 10: 1
Принят бит 11: 1
Принят бит 12: 0
Принят бит 13: 1
Принят бит 14: 1
Принят бит 15: 1
Принят бит 16: 1
Принят бит 17: 0
Принят бит 18: 1
Принят бит 19: 0
Отправлен ответ: 10101010
Принят бит 1: 0
Принят бит 2: 0
Принят бит 3: 0
Принят бит 4: 0
Принят бит 5: 0
Принят бит 6: 0
Принят бит 7: 0
Принят бит 8: 0
Принят бит 9: 0
Принят бит 10: 0
Принят бит 11: 0
Принят бит 12: 0
Принят бит 13: 0
Принят бит 14: 0
Принят бит 15: 0
Принят бит 16: 0
Принят бит 17: 0
Принят бит 18: 0
Принят бит 19: 0
Отправлен ответ: 10101010
Принят бит 1: 0
Принят бит 2: 0
Принят бит 3: 1
Принят бит 4: 1
Принят бит 5: 1
Принят бит 6: 1
Принят бит 7: 1
Принят бит 8: 1
Принят бит 9: 1
Принят бит 10: 1
Принят бит 11: 1
Принят бит 12: 1
Принят бит 13: 1
Принят бит 14: 1
Принят бит 15: 0
Принят бит 16: 0
Принят бит 17: 0
Принят бит 18: 0
Принят бит 19: 0
Отправлен ответ: 10101010
Принят бит 1: 0
Принят бит 2: 0
Принят бит 3: 0
Принят бит 4: 0
Принят бит 5: 0
Принят бит 6: 0
Принят бит 7: 1
Принят бит 8: 1
Принят бит 9: 0
Принят бит 10: 0
Принят бит 11: 1
Принят бит 12: 0
Принят бит 13: 0
Принят бит 14: 1
Принят бит 15: 1
Принят бит 16: 1
Принят бит 17: 0
Принят бит 18: 0
Принят бит 19: 0
Отправлен ответ: 10101010
Принят бит 1: 0
Принят бит 2: 0
Принят бит 3: 1
Принят бит 4: 1
Принят бит 5: 1
Принят бит 6: 1
Принят бит 7: 0
Принят бит 8: 0
Принят бит 9: 0
Принят бит 10: 0
Принят бит 11: 0
Принят бит 12: 1
Принят бит 13: 0
Принят бит 14: 1
Принят бит 15: 1
Принят бит 16: 0
Принят бит 17: 0
Принят бит 18: 1
Принят бит 19: 0
Отправлен ответ: 10101010
Принят бит 1: 0
Принят бит 2: 0
Принят бит 3: 0
Принят бит 4: 0
Принят бит 5: 0
Принят бит 6: 0
Принят бит 7: 0
Принят бит 8: 0
Принят бит 9: 0
Принят бит 10: 0
Принят бит 11: 0
Принят бит 12: 0
Принят бит 13: 0
Принят бит 14: 0
Принят бит 15: 0
Принят бит 16: 0
Принят бит 17: 0
Принят бит 18: 0
Принят бит 19: 0
Отправлен ответ: 10101010
Принят бит 1: 0
Принят бит 2: 0
Принят бит 3: 0
Принят бит 4: 0
Принят бит 5: 0
Принят бит 6: 1
Принят бит 7: 0
Принят бит 8: 0
Принят бит 9: 1
Принят бит 10: 0
Принят бит 11: 0
Принят бит 12: 0
Принят бит 13: 0
Принят бит 14: 0
Принят бит 15: 0
Принят бит 16: 0
Принят бит 17: 0
Принят бит 18: 0
Принят бит 19: 0
Отправлен ответ: 10101010
Принят бит 1: 0
Принят бит 2: 0
Принят бит 3: 1
Принят бит 4: 0
Принят бит 5: 1
Принят бит 6: 0
Принят бит 7: 0
Принят бит 8: 0
Принят бит 9: 0
Принят бит 10: 0
Принят бит 11: 0
Принят бит 12: 0
Принят бит 13: 0
Принят бит 14: 1
Принят бит 15: 0
Принят бит 16: 1
Принят бит 17: 0
Принят бит 18: 0
Принят бит 19: 0
Отправлен ответ: 10101010
